date,close,open,high,low,volume
2024-01-18T00:00:00+05:30,439.4,439.17,441.62,429.07,9686859.0
2024-01-19T00:00:00+05:30,445.07,442.28,446.48,440.25,12928112.0
2024-01-20T00:00:00+05:30,442.14,446.86,448.37,441.76,3492190.0
2024-01-22T00:00:00+05:30,471.5,471.5,471.5,471.5,0.0
2024-01-23T00:00:00+05:30,433.55,447.19,447.19,430.81,8903681.0
2024-01-24T00:00:00+05:30,437.61,434.31,441.2,432.42,22910624.0
2024-01-25T00:00:00+05:30,430.1,437.56,438.88,426.75,20846415.0
2024-01-29T00:00:00+05:30,424.58,430.34,431.62,422.41,18930452.0
2024-01-30T00:00:00+05:30,413.49,421.94,428.26,412.88,46098896.0
2024-01-31T00:00:00+05:30,416.8,415.33,417.69,414.11,21063849.0
2024-02-01T00:00:00+05:30,418.07,417.22,422.65,414.67,20303697.0
2024-02-02T00:00:00+05:30,415.43,420.05,422.13,414.86,18174966.0
2024-02-05T00:00:00+05:30,413.49,417.22,418.78,412.08,12757099.0
2024-02-06T00:00:00+05:30,407.21,415.33,416.18,405.42,19878840.0
2024-02-07T00:00:00+05:30,407.59,410.61,410.61,406.65,13645853.0
2024-02-08T00:00:00+05:30,391.31,404.95,405.04,385.69,51045661.0
2024-02-09T00:00:00+05:30,392.21,387.11,400.42,385.69,34201402.0
2024-02-12T00:00:00+05:30,384.04,394.14,394.57,383.29,11554706.0
2024-02-13T00:00:00+05:30,383.95,384.09,387.77,380.69,16533632.0
2024-02-14T00:00:00+05:30,388.48,383.24,389.14,381.73,12871704.0
2024-02-15T00:00:00+05:30,381.26,389.85,391.31,380.55,21594646.0
2024-02-16T00:00:00+05:30,381.92,382.29,386.59,377.01,39747199.0
2024-02-19T00:00:00+05:30,386.31,382.29,389.61,381.92,17956489.0
2024-02-20T00:00:00+05:30,383.33,387.44,387.44,381.63,14920720.0
2024-02-21T00:00:00+05:30,380.74,384.18,387.11,378.8,20567745.0
2024-02-22T00:00:00+05:30,391.21,384.09,391.88,380.83,19709643.0
2024-02-23T00:00:00+05:30,388.34,392.58,392.58,387.49,11809726.0
2024-02-26T00:00:00+05:30,386.26,388.05,389.89,384.47,8456227.0
2024-02-27T00:00:00+05:30,388.1,387.01,389.61,385.65,8246041.0
2024-02-28T00:00:00+05:30,385.41,388.1,389.23,383.99,9129601.0
2024-02-29T00:00:00+05:30,383.52,386.07,388.01,381.82,15779809.0
2024-03-01T00:00:00+05:30,386.54,385.98,389.99,384.65,13131844.0
2024-03-02T00:00:00+05:30,388.95,387.96,389.66,387.11,1035720.0
2024-03-04T00:00:00+05:30,386.16,389.14,389.8,385.55,7246620.0
2024-03-05T00:00:00+05:30,383.38,386.68,388.34,381.3,10311607.0
2024-03-06T00:00:00+05:30,384.98,383.71,386.97,378.24,11766523.0
2024-03-07T00:00:00+05:30,390.37,384.98,391.69,381.02,24387801.0
